id,width,height
990626-2,2000,1500
2032277-0,2736,3648
669640-1,3456,4608
648057-2,1632,1224
1345869-0,2628,3504
728824-0,1952,1464
1021655-2,4608,3456
648024-0,4000,3000
2052523-1,3456,4608
828941-0,3456,4608
860575-2,3648,2736
862080-2,3648,2736
968579-1,3000,4000
2208136-3,2080,1560
1311961-1,2628,3504
866113-1,2016,1512
289307-0,2736,3648
849895-0,3648,2736
703031-0,2736,3648
854737-2,2080,1560
781104-1,1536,2048
756226-0,2080,1560
697153-1,4608,3456
758002-2,3648,2736
1051807-1,2000,1500
1054361-0,2080,1560
1251942-1,2736,3648
1970811-1,2000,1500
936066-1,2000,1500
1027298-1,2000,1500
1015272-0,2312,1734
923065-0,2080,1560
644462-2,2736,3648
1371573-1,1560,2080
1234176-0,3000,4000
696728-1,2016,1512
844445-0,4000,3000
777054-0,4000,3000
813283-2,1984,1488
766340-0,2304,1728
2241341-0,3648,2736
756322-0,1536,2048
981683-2,2048,1536
669651-2,2000,1500
757564-1,1560,2080
1014984-0,2736,3648
669609-0,2000,1500
1081062-1,3000,4000
762319-0,4608,3456
943226-0,3000,4000
755999-2,2000,1500
902179-2,1500,2000
747573-2,1632,1224
1331692-0,1560,2080
942299-2,2000,1500
1319986-0,2304,1728
935015-1,1728,2304
745543-2,3648,2736
888076-1,2048,1536
1035677-0,2016,1512
935079-1,2000,1500
763504-0,2000,1500
2007220-2,2048,1536
1252055-2,4608,3456
808836-1,1560,2080
883154-0,1560,2080
886079-0,1728,2304
935120-0,3456,4608
1202113-1,3072,4096
2207997-0,2080,1560
933200-1,1224,1632
1081372-0,1224,1632
556914-0,3456,4608
1297893-2,3456,4608
2066141-2,2048,1536
756185-2,2000,1500
755999-0,2000,1500
745528-0,1500,2000
514723-0,4000,3000
2240809-1,2048,1536
1341644-2,1560,2080
1001317-1,1464,1952
1100390-1,1224,1632
901951-2,2016,1512
757564-0,1560,2080
909581-1,1500,2000
1353220-2,4000,3000
648038-2,4608,3456
1130402-2,1632,1224
876349-1,2000,1500
885816-2,3456,4608
949599-2,2016,1512
810605-0,1224,1632
735434-1,1500,2000
1063057-2,3456,4608
761757-1,3456,4608
839886-2,2304,1728
2069032-1,4000,3000
886722-1,2000,1500
2178903-2,2016,1512
1100772-1,960,720
891928-2,2080,1560
1969389-0,1296,972
2007805-2,4608,3456
1002730-1,2000,1500
935098-1,3456,4608
1338451-1,2000,1500
864143-0,2048,1536
2191854-0,2736,3648
2181559-0,2016,1512
883198-0,3456,4608
759380-0,2080,1560
1984684-0,2048,1536
681083-1,1512,2016
766856-2,2304,1728
895133-0,1368,1824
1130402-1,1224,1632
742216-0,2040,1536
927051-2,2000,1500
745437-2,4000,3000
2203502-0,2736,3648
942310-2,3648,2736
877737-0,1500,2000
971255-0,4608,3456
1942580-0,3000,4000
1081372-2,1632,1224
2125812-1,3648,2736
1152392-0,2312,1734
2233227-1,2736,3648
805685-0,1224,1632
885799-1,1224,1632
1919323-2,2048,1536
2179175-0,1500,2000
805689-1,2080,1560
918613-1,3456,4608
994157-0,2000,1500
972683-1,3456,4608
937052-1,2000,1500
553178-0,3456,4608
2066141-1,1536,2048
561594-0,1728,2304
728787-2,1952,1464
918652-1,1728,2304
759373-0,2080,1560
766979-0,2016,1512
897381-1,3456,4608
786076-2,2080,1560
785100-2,3648,2736
882653-2,4608,3456
631984-1,3000,4000
728798-1,1224,1632
706043-2,2304,1728
669609-2,2000,1500
1385958-1,4096,3072
2033879-0,2000,1500
1079822-0,2080,1560
2007824-2,4608,3456
2092597-1,1500,2000
756322-1,1536,2048
